,Player,Pos.,Team ▾,Total Value,APY,"Total
Guaranteed","Avg.
Guarantee/Year",% Guaranteed
,Brock Purdy,QB,49ers,"$265,000,000","$53,000,000","$100,000,000","$20,000,000",37.7%
,Nick Bosa,EDGE,49ers,"$170,000,000","$34,000,000","$88,000,000","$17,600,000",51.8%
,Brandon Aiyuk,WR,49ers,"$120,000,000","$30,000,000","$45,000,000","$11,250,000",37.5%
,George Kittle,TE,49ers,"$76,400,000","$19,100,000","$35,000,000","$8,750,000",45.8%
,Bryce Huff,EDGE,49ers,"$51,100,000","$17,033,333","$34,000,000","$11,333,333",66.5%
,Trent Williams,LT,49ers,"$82,660,000","$27,553,333","$26,900,000","$8,966,667",32.5%
,Mykel Williams,EDGE,49ers,"$24,943,354","$6,235,839","$24,943,354","$6,235,839",100.0%
,Christian McCaffrey,RB,49ers,"$38,000,000","$19,000,000","$24,000,000","$12,000,000",63.2%
,Colton McKivitz,LT,49ers,"$45,000,000","$15,000,000","$18,710,000","$6,236,667",41.6%
,Fred Warner,LB,49ers,"$63,000,000","$21,000,000","$18,150,000","$6,050,000",28.8%
,Deommodore Lenoir,CB,49ers,"$89,800,000","$17,960,000","$15,468,889","$3,093,778",17.2%
,Ricky Pearsall,WR,49ers,"$12,538,398","$3,134,600","$12,538,398","$3,134,600",100.0%
,Yetur Gross-Matos,EDGE,49ers,"$18,000,000","$9,000,000","$9,390,000","$4,695,000",52.2%
,Alfred Collins,IDL,49ers,"$10,306,904","$2,576,726","$9,071,886","$2,267,972",88.0%
,Kyle Juszczyk,FB,49ers,"$7,500,000","$3,750,000","$7,000,000","$3,500,000",93.3%
,Demarcus Robinson,WR,49ers,"$8,000,000","$4,000,000","$6,000,000","$3,000,000",75.0%
,Luke Farrell,TE,49ers,"$15,750,000","$5,250,000","$6,000,000","$2,000,000",38.1%
,Keion White,EDGE,49ers,"$7,790,170","$1,947,543","$5,321,683","$1,330,421",68.3%
,Jake Brendel,C,49ers,"$16,500,000","$4,125,000","$5,000,000","$1,250,000",30.3%
,Mac Jones,QB,49ers,"$7,000,000","$3,500,000","$4,750,000","$2,375,000",67.9%
,Skyy Moore,WR,49ers,"$6,450,506","$1,612,627","$3,574,481","$893,620",55.4%
,Renardo Green,CB,49ers,"$6,389,874","$1,597,469","$3,347,629","$836,907",52.4%
,Jordan Elliott,IDL,49ers,"$7,000,000","$3,500,000","$2,325,000","$1,162,500",33.2%
,Siran Neal,CB,49ers,"$4,000,000","$2,000,000","$2,255,000","$1,127,500",56.4%
,Jason Pinnock,S,49ers,"$2,200,000","$2,200,000","$2,200,000","$2,200,000",100.0%
,Kevin Givens,IDL,49ers,"$2,050,000","$2,050,000","$2,050,000","$2,050,000",100.0%
,Nick Martin,LB,49ers,"$6,561,668","$1,640,417","$1,412,120","$353,030",21.5%
,Kendrick Bourne,WR,49ers,"$1,765,000","$1,765,000","$1,255,000","$1,255,000",71.1%
,Ben Bartch,LT,49ers,"$1,337,500","$1,337,500","$1,172,500","$1,172,500",87.7%
,Upton Stout,S,49ers,"$6,161,184","$1,540,296","$1,120,860","$280,215",18.2%
,Thomas Morstead,P,49ers,"$1,255,000","$1,255,000","$1,030,000","$1,030,000",82.1%
,C.J. West,IDL,49ers,"$5,211,092","$1,302,773","$1,011,092","$252,773",19.4%
,Spencer Burford,RG,49ers,"$2,275,000","$2,275,000","$1,000,000","$1,000,000",44.0%
,Dominick Puni,RG,49ers,"$5,700,548","$1,425,137","$965,852","$241,463",16.9%
,Ji'Ayir Brown,S,49ers,"$5,395,804","$1,348,951","$924,220","$231,055",17.1%
,Brian Robinson Jr.,RB,49ers,"$5,044,904","$1,261,226","$849,020","$212,255",16.8%
,Malik Mustapha,S,49ers,"$4,758,936","$1,189,734","$738,936","$184,734",15.5%
,Isaac Guerendo,RB,49ers,"$4,724,528","$1,181,132","$704,525","$176,131",14.9%
,Jordan Watkins,WR,49ers,"$4,865,816","$1,216,454","$665,816","$166,454",13.7%
,Luke Gifford,LB,49ers,"$1,800,000","$1,800,000","$600,000","$600,000",33.3%
,Jacob Cowing,WR,49ers,"$4,548,716","$1,137,177","$528,708","$132,177",11.6%
,Jordan James,RB,49ers,"$4,639,684","$1,159,921","$439,684","$109,921",9.5%
,Marques Sigle,S,49ers,"$4,602,376","$1,150,594","$402,376","$100,594",8.7%
,Matt Hennessy,C,49ers,"$2,300,000","$1,150,000","$390,000","$195,000",17.0%
